day,type,new,__row_index
2024-06-04T00:00:00.000Z,nft,1795,0
2024-03-27T00:00:00.000Z,dapp,40129,1
2024-04-03T00:00:00.000Z,defi,1812,2
2024-08-24T00:00:00.000Z,game,8970,3
2024-01-08T00:00:00.000Z,dapp,29043,4
2024-06-11T00:00:00.000Z,dapp,19081,5
2024-01-26T00:00:00.000Z,defi,722,6
2024-08-07T00:00:00.000Z,dex,300,7
2024-05-25T00:00:00.000Z,defi,611,8
2024-05-17T00:00:00.000Z,defi,1935,9
2024-03-01T00:00:00.000Z,defi,1002,10
2024-02-19T00:00:00.000Z,dex,1713,11
2024-03-10T00:00:00.000Z,bridge,2580,12
2024-05-11T00:00:00.000Z,nft,285,13
2024-05-02T00:00:00.000Z,defi,542,14
2024-08-15T00:00:00.000Z,dex,420,15
2024-04-27T00:00:00.000Z,nft,525,16
2024-02-27T00:00:00.000Z,defi,1299,17
2024-02-23T00:00:00.000Z,nft,339,18
2024-03-08T00:00:00.000Z,nft,908,19
2024-09-08T00:00:00.000Z,nft,84,20
2024-06-05T00:00:00.000Z,bridge,121,21
2024-06-15T00:00:00.000Z,game,1375,22
2024-08-27T00:00:00.000Z,bridge,57,23
2024-07-14T00:00:00.000Z,dapp,40880,24
2024-05-20T00:00:00.000Z,defi,504,25
2024-05-14T00:00:00.000Z,dapp,40193,26
2024-09-08T00:00:00.000Z,dapp,55779,27
2024-01-23T00:00:00.000Z,dex,59110,28
2024-09-05T00:00:00.000Z,dapp,56068,29
2024-04-30T00:00:00.000Z,dapp,6969,30
2024-06-04T00:00:00.000Z,dapp,42010,31
2024-03-23T00:00:00.000Z,dapp,37745,32
2024-09-04T00:00:00.000Z,game,13506,33
2024-04-16T00:00:00.000Z,defi,2995,34
2024-06-13T00:00:00.000Z,game,2779,35
2024-02-20T00:00:00.000Z,nft,721,36
2024-05-26T00:00:00.000Z,bridge,169,37
2024-08-01T00:00:00.000Z,nft,37,38
2024-07-22T00:00:00.000Z,bridge,281,39
2024-03-07T00:00:00.000Z,nft,823,40
2024-05-09T00:00:00.000Z,bridge,258,41
2024-09-05T00:00:00.000Z,defi,356,42
2024-07-27T00:00:00.000Z,bridge,121,43
2024-07-20T00:00:00.000Z,nft,170,44
2024-07-09T00:00:00.000Z,bridge,105,45
2024-05-28T00:00:00.000Z,dex,1841,46
2024-05-04T00:00:00.000Z,nft,160,47
2024-06-25T00:00:00.000Z,bridge,190,48
2024-09-14T00:00:00.000Z,bridge,34,49
2024-03-20T00:00:00.000Z,defi,12631,50
2024-02-09T00:00:00.000Z,dapp,44280,51
2024-07-04T00:00:00.000Z,defi,402,52
2024-01-07T00:00:00.000Z,nft,216,53
2024-04-07T00:00:00.000Z,bridge,2747,54
2024-03-16T00:00:00.000Z,dex,8964,55
2024-05-08T00:00:00.000Z,dapp,7530,56
2024-04-09T00:00:00.000Z,defi,2118,57
2024-02-15T00:00:00.000Z,dapp,22538,58
2024-05-21T00:00:00.000Z,dex,3177,59
2024-06-29T00:00:00.000Z,defi,660,60
2024-07-11T00:00:00.000Z,defi,398,61
2024-01-27T00:00:00.000Z,defi,982,62
2024-07-16T00:00:00.000Z,game,218,63
2024-07-29T00:00:00.000Z,nft,124,64
2024-09-12T00:00:00.000Z,nft,145,65
2024-07-24T00:00:00.000Z,defi,631,66
2024-02-14T00:00:00.000Z,nft,366,67
2024-07-24T00:00:00.000Z,nft,88,68
2024-01-31T00:00:00.000Z,dex,1271,69
2024-03-28T00:00:00.000Z,nft,2350,70
2024-04-14T00:00:00.000Z,dapp,45941,71
2024-02-27T00:00:00.000Z,dapp,44770,72
2024-06-11T00:00:00.000Z,game,2948,73
2024-04-27T00:00:00.000Z,dapp,8499,74
2024-09-05T00:00:00.000Z,game,13255,75
2024-08-06T00:00:00.000Z,nft,111,76
2024-03-06T00:00:00.000Z,dex,1629,77
2024-02-11T00:00:00.000Z,dex,1932,78
2024-02-21T00:00:00.000Z,dapp,3567,79
2024-06-08T00:00:00.000Z,dex,1047,80
