"DATE","TRANSACTIONS","TYPE"
"2024-02-06 00:00:00.000","510583","Old Users"
"2024-05-21 00:00:00.000","506796","New Users"
"2024-03-10 00:00:00.000","379956","New Users"
"2024-02-22 00:00:00.000","538761","Old Users"
"2024-05-20 00:00:00.000","956650","New Users"
"2024-02-17 00:00:00.000","84232","New Users"
"2024-07-16 00:00:00.000","408327","Old Users"
"2024-03-29 00:00:00.000","245097","New Users"
"2024-05-25 00:00:00.000","149612518","New Users"
"2024-01-26 00:00:00.000","517260","Old Users"
"2024-03-20 00:00:00.000","776043","Old Users"
"2024-03-22 00:00:00.000","692577","Old Users"
"2024-01-14 00:00:00.000","492500","Old Users"
"2024-05-18 00:00:00.000","367305","Old Users"
"2024-07-30 00:00:00.000","421196","Old Users"
"2024-02-07 00:00:00.000","188369","New Users"
"2024-01-27 00:00:00.000","96873","New Users"
"2024-04-25 00:00:00.000","268434","New Users"
"2024-07-19 00:00:00.000","404499","Old Users"
"2024-01-29 00:00:00.000","110726","New Users"
"2024-03-20 00:00:00.000","332234","New Users"
"2024-06-30 00:00:00.000","322964","New Users"
"2024-01-21 00:00:00.000","79604","New Users"
"2024-02-12 00:00:00.000","136879","New Users"
"2024-03-03 00:00:00.000","144273","New Users"
"2024-05-15 00:00:00.000","373075","New Users"
"2024-01-13 00:00:00.000","73640","New Users"
"2024-05-14 00:00:00.000","1149003","New Users"
"2024-07-01 00:00:00.000","365560","New Users"
"2024-08-23 00:00:00.000","1977045","New Users"
"2024-08-02 00:00:00.000","368059","Old Users"
"2024-08-16 00:00:00.000","485079","Old Users"
"2024-06-11 00:00:00.000","331029","Old Users"
"2024-07-26 00:00:00.000","413437","New Users"
"2024-07-07 00:00:00.000","356660","New Users"
"2024-08-14 00:00:00.000","146017003","New Users"
"2024-05-12 00:00:00.000","309291","Old Users"
"2024-07-27 00:00:00.000","369482","Old Users"
"2024-07-31 00:00:00.000","1190758","New Users"
"2024-01-13 00:00:00.000","472182","Old Users"
"2024-06-24 00:00:00.000","344112","New Users"
"2024-04-24 00:00:00.000","418086","Old Users"
"2024-01-10 00:00:00.000","93351","New Users"
"2024-07-06 00:00:00.000","406990","Old Users"
"2024-07-30 00:00:00.000","490940","New Users"
"2024-06-14 00:00:00.000","406739","New Users"
"2024-04-19 00:00:00.000","401143","Old Users"
"2024-03-02 00:00:00.000","153064","New Users"
"2024-01-14 00:00:00.000","77810","New Users"
"2024-08-24 00:00:00.000","403643","Old Users"
"2024-09-05 00:00:00.000","384074","Old Users"
"2024-03-31 00:00:00.000","428552","Old Users"
"2024-05-03 00:00:00.000","315384","Old Users"
"2024-03-09 00:00:00.000","308406","New Users"
"2024-07-21 00:00:00.000","361093","Old Users"
"2024-07-08 00:00:00.000","471616","Old Users"
"2024-04-21 00:00:00.000","373730","Old Users"
"2024-03-08 00:00:00.000","540388","Old Users"
"2024-04-22 00:00:00.000","444301","Old Users"
"2024-06-01 00:00:00.000","296714","New Users"
"2024-03-11 00:00:00.000","527683","Old Users"
"2024-02-20 00:00:00.000","150185","New Users"
"2024-04-18 00:00:00.000","252914","New Users"
"2024-08-01 00:00:00.000","503586","New Users"
"2024-06-16 00:00:00.000","312538","Old Users"
"2024-05-05 00:00:00.000","307867","Old Users"
"2024-03-29 00:00:00.000","464968","Old Users"
"2024-05-30 00:00:00.000","381960","Old Users"
"2024-04-15 00:00:00.000","290863","New Users"
"2024-08-05 00:00:00.000","498291","Old Users"
"2024-04-29 00:00:00.000","361866","Old Users"
"2024-01-25 00:00:00.000","127496","New Users"
"2024-01-30 00:00:00.000","148783","New Users"
"2024-05-17 00:00:00.000","383877","Old Users"
"2024-03-21 00:00:00.000","728013","Old Users"
"2024-01-30 00:00:00.000","545571","Old Users"
"2024-07-28 00:00:00.000","343780","Old Users"
"2024-02-12 00:00:00.000","442692","Old Users"
"2024-06-24 00:00:00.000","388662","Old Users"
"2024-06-23 00:00:00.000","324897","Old Users"
"2024-04-11 00:00:00.000","236886","New Users"
"2024-07-23 00:00:00.000","3166763","New Users"
"2024-05-04 00:00:00.000","314897","Old Users"
"2024-05-28 00:00:00.000","341871","New Users"
"2024-07-24 00:00:00.000","377196","Old Users"
"2024-06-19 00:00:00.000","491855","New Users"
"2024-08-25 00:00:00.000","496625","New Users"
"2024-05-27 00:00:00.000","489877","Old Users"
"2024-03-13 00:00:00.000","251601","New Users"
"2024-02-19 00:00:00.000","134494","New Users"
"2024-01-19 00:00:00.000","436904","Old Users"
"2024-05-24 00:00:00.000","96108135","New Users"
"2024-04-22 00:00:00.000","257535","New Users"
"2024-07-08 00:00:00.000","438316","New Users"
"2024-07-11 00:00:00.000","373099","Old Users"
"2024-08-10 00:00:00.000","321220","New Users"
"2024-08-22 00:00:00.000","330066","New Users"
"2024-03-27 00:00:00.000","270423","New Users"
"2024-06-04 00:00:00.000","375298","New Users"
"2024-06-13 00:00:00.000","314951","Old Users"
"2024-05-28 00:00:00.000","456212","Old Users"
"2024-02-28 00:00:00.000","556942","Old Users"
"2024-03-30 00:00:00.000","185548","New Users"
"2024-04-28 00:00:00.000","236906","New Users"
"2024-02-19 00:00:00.000","542526","Old Users"
"2024-03-13 00:00:00.000","597298","Old Users"
"2024-05-11 00:00:00.000","302642","Old Users"
"2024-06-12 00:00:00.000","338759","New Users"
"2024-07-24 00:00:00.000","588791","New Users"
"2024-03-04 00:00:00.000","145450","New Users"
"2024-01-04 00:00:00.000","475144","Old Users"
"2024-05-31 00:00:00.000","275314","New Users"
"2024-03-28 00:00:00.000","467272","Old Users"
"2024-08-31 00:00:00.000","317014","Old Users"
"2024-07-04 00:00:00.000","386849","New Users"
"2024-08-21 00:00:00.000","399461","Old Users"
"2024-06-21 00:00:00.000","458313","New Users"
"2024-07-22 00:00:00.000","875476","New Users"
"2024-08-18 00:00:00.000","323133","New Users"
"2024-03-03 00:00:00.000","482765","Old Users"
"2024-07-22 00:00:00.000","376736","Old Users"
"2024-07-20 00:00:00.000","454143","New Users"
"2024-04-20 00:00:00.000","380016","Old Users"
"2024-05-18 00:00:00.000","323562","New Users"
"2024-04-01 00:00:00.000","555617","Old Users"
"2024-08-09 00:00:00.000","291849","Old Users"
"2024-04-18 00:00:00.000","436474","Old Users"
"2024-01-23 00:00:00.000","535559","Old Users"
"2024-02-01 00:00:00.000","568346","Old Users"
"2024-03-25 00:00:00.000","618649","Old Users"
"2024-09-10 00:00:00.000","753145","New Users"
"2024-07-06 00:00:00.000","362567","New Users"
"2024-03-04 00:00:00.000","528705","Old Users"
"2024-01-02 00:00:00.000","31094","New Users"
"2024-01-10 00:00:00.000","523885","Old Users"
"2024-01-31 00:00:00.000","148082","New Users"
"2024-04-26 00:00:00.000","367766","Old Users"
"2024-07-21 00:00:00.000","391567","New Users"
"2024-05-17 00:00:00.000","293672","New Users"
"2024-03-28 00:00:00.000","248853","New Users"
"2024-02-02 00:00:00.000","545278","Old Users"
"2024-04-04 00:00:00.000","611314","Old Users"
"2024-05-24 00:00:00.000","1121879","Old Users"
"2024-08-19 00:00:00.000","328883","New Users"
"2024-01-07 00:00:00.000","56316","New Users"
"2024-05-01 00:00:00.000","373078","Old Users"
"2024-08-06 00:00:00.000","610966","New Users"
"2024-04-10 00:00:00.000","217396","New Users"
"2024-05-25 00:00:00.000","6831619","Old Users"
"2024-02-08 00:00:00.000","465735","Old Users"
"2024-03-09 00:00:00.000","475721","Old Users"
"2024-03-05 00:00:00.000","559297","Old Users"
"2024-05-11 00:00:00.000","697051","New Users"
"2024-08-30 00:00:00.000","963022","New Users"
"2024-06-07 00:00:00.000","477599","New Users"
"2024-06-03 00:00:00.000","379481","Old Users"
"2024-06-18 00:00:00.000","469976","New Users"
"2024-07-05 00:00:00.000","508183","Old Users"
"2024-01-03 00:00:00.000","45570","New Users"
"2024-07-01 00:00:00.000","338163","Old Users"
"2024-04-09 00:00:00.000","225358","New Users"
"2024-05-12 00:00:00.000","762532","New Users"
"2024-03-06 00:00:00.000","576514","Old Users"
"2024-09-09 00:00:00.000","375810","Old Users"
"2024-04-02 00:00:00.000","293979","New Users"
"2024-03-12 00:00:00.000","561137","Old Users"
"2024-07-13 00:00:00.000","405159","New Users"
"2024-02-29 00:00:00.000","157349","New Users"
"2024-01-22 00:00:00.000","85237","New Users"
"2024-03-15 00:00:00.000","720602","Old Users"
"2024-06-03 00:00:00.000","532988","New Users"
"2024-01-22 00:00:00.000","533393","Old Users"
"2024-02-14 00:00:00.000","449848","Old Users"
"2024-04-03 00:00:00.000","576070","Old Users"
"2024-04-06 00:00:00.000","577571","Old Users"
"2024-02-03 00:00:00.000","531599","Old Users"
"2024-06-06 00:00:00.000","374466","Old Users"
"2024-02-04 00:00:00.000","235988","New Users"
"2024-05-23 00:00:00.000","738044","Old Users"
"2024-06-09 00:00:00.000","429718","New Users"
"2024-03-19 00:00:00.000","762312","Old Users"
"2024-06-25 00:00:00.000","315768","New Users"
"2024-02-08 00:00:00.000","1894497","New Users"
"2024-06-23 00:00:00.000","341428","New Users"
"2024-01-20 00:00:00.000","362425","Old Users"
"2024-04-07 00:00:00.000","243130","New Users"
