"PROJECT","NEW_USERS","USERS"
"Chingari","9735525","9735525"
"Aptin","1334743","634743"
"KGeN","634010","634010"
"Aries","622825","622825"
"amnis finance","509482","509482"
"liquidswap","401261","401261"
"thala","400275","400275"
"wapal","384792","384792"
"Cellana","368096","368096"
"layerzero","251477","251477"
"switchboard","247409","247409"
"Galxe","243535","243535"
"pancakeswap","229455","229455"
"bluemove","106510","106510"
"topaz","103469","103469"
"mercato","93149","93149"
"merkle","86523","86523"
"Hippo aggregator","73134","73134"
"aptos name service","69708","69708"
"aptoswap","68444","68444"
"tradeport","65601","65601"
"econia","64132","64132"
"Tapos","63223","63223"
"sushiswap","62510","62510"
"Panora","52563","52563"
"petra name","48107","48107"
"auxexchange","38467","38467"
"Abel","32829","32829"
"wormhole","31673","31673"
"Echelon","28818","28818"
