date,new users,cumulative new users,__row_index
2024-03-17T00:00:00.000Z,60907,3254762,0
2024-02-19T00:00:00.000Z,37273,1970695,1
2024-01-19T00:00:00.000Z,13619,696909,2
2024-05-06T00:00:00.000Z,43795,5386999,3
2024-04-28T00:00:00.000Z,20025,5232903,4
2024-08-20T00:00:00.000Z,65678,12393217,5
2024-09-09T00:00:00.000Z,93141,14464892,6
2024-02-14T00:00:00.000Z,30188,1883625,7
2024-02-25T00:00:00.000Z,48468,2169494,8
2024-03-10T00:00:00.000Z,56887,2874511,9
2024-06-06T00:00:00.000Z,47410,7249790,10
2024-08-03T00:00:00.000Z,13773,11626699,11
2024-09-04T00:00:00.000Z,87686,14003415,12
2024-01-09T00:00:00.000Z,29204,337039,13
2024-05-01T00:00:00.000Z,15629,5288143,14
2024-05-24T00:00:00.000Z,51735,6097159,15
2024-07-06T00:00:00.000Z,57983,10016678,16
2024-08-01T00:00:00.000Z,26929,11598346,17
2024-07-30T00:00:00.000Z,70106,11511281,18
2024-02-13T00:00:00.000Z,35312,1853437,19
2024-02-20T00:00:00.000Z,13157,1983852,20
2024-01-15T00:00:00.000Z,40552,566926,21
2024-04-08T00:00:00.000Z,41827,4496891,22
2024-05-14T00:00:00.000Z,53936,5552813,23
2024-05-11T00:00:00.000Z,12466,5473607,24
2024-05-30T00:00:00.000Z,51777,6407915,25
2024-09-14T00:00:00.000Z,9662,14816556,26
2024-01-01T00:00:00.000Z,50810,50810,27
2024-05-04T00:00:00.000Z,12339,5331496,28
2024-04-04T00:00:00.000Z,52272,4300444,29
2024-07-16T00:00:00.000Z,63997,10634669,30
2024-01-28T00:00:00.000Z,38609,1111916,31
2024-06-10T00:00:00.000Z,61752,8594055,32
2024-06-09T00:00:00.000Z,68942,8532303,33
2024-07-09T00:00:00.000Z,56956,10218485,34
2024-02-29T00:00:00.000Z,55956,2370033,35
2024-06-15T00:00:00.000Z,91580,8788796,36
2024-08-22T00:00:00.000Z,13604,12444674,37
2024-01-24T00:00:00.000Z,84417,947561,38
2024-03-11T00:00:00.000Z,47681,2922192,39
2024-03-28T00:00:00.000Z,47905,3934035,40
2024-02-21T00:00:00.000Z,4814,1988666,41
2024-07-11T00:00:00.000Z,45852,10294986,42
2024-07-10T00:00:00.000Z,30649,10249134,43
2024-07-13T00:00:00.000Z,63157,10469314,44
2024-08-14T00:00:00.000Z,17422,11968956,45
2024-08-24T00:00:00.000Z,273293,12855004,46
2024-05-21T00:00:00.000Z,54888,5886741,47
2024-05-16T00:00:00.000Z,44563,5621655,48
2024-01-20T00:00:00.000Z,12198,709107,49
2024-03-09T00:00:00.000Z,52204,2817624,50
2024-01-30T00:00:00.000Z,47731,1202435,51
2024-03-26T00:00:00.000Z,49490,3835167,52
2024-03-14T00:00:00.000Z,60861,3075584,53
2024-02-06T00:00:00.000Z,53009,1615421,54
2024-04-15T00:00:00.000Z,50705,4767974,55
2024-05-12T00:00:00.000Z,12082,5485689,56
2024-05-25T00:00:00.000Z,37498,6134657,57
2024-01-07T00:00:00.000Z,37020,274931,58
2024-03-24T00:00:00.000Z,86158,3731094,59
2024-02-16T00:00:00.000Z,4814,1926415,60
2024-06-01T00:00:00.000Z,47464,6506875,61
2024-08-04T00:00:00.000Z,82719,11709418,62
2024-08-17T00:00:00.000Z,101691,12246762,63
2024-04-21T00:00:00.000Z,42184,5018592,64
2024-03-19T00:00:00.000Z,57041,3369081,65
2024-03-15T00:00:00.000Z,56406,3131990,66
2024-03-31T00:00:00.000Z,27860,4028021,67
2024-06-21T00:00:00.000Z,71839,9228983,68
2024-07-18T00:00:00.000Z,64663,10748021,69
2024-03-16T00:00:00.000Z,61865,3193855,70
2024-02-05T00:00:00.000Z,62435,1562412,71
2024-04-05T00:00:00.000Z,50532,4350976,72
2024-06-12T00:00:00.000Z,8791,8631499,73
2024-08-08T00:00:00.000Z,8991,11859151,74
2024-03-08T00:00:00.000Z,49475,2765420,75
2024-07-05T00:00:00.000Z,62830,9958695,76
2024-07-31T00:00:00.000Z,60136,11571417,77
2024-05-02T00:00:00.000Z,14398,5302541,78
2024-04-26T00:00:00.000Z,21767,5193868,79
2024-09-05T00:00:00.000Z,82268,14085683,80
