"columns","csvData__001","csvData__002","csvData__003","csvData__004"
"DATE","2022-10-17 00:00:00.000","dapp","6","58871"
"NAME","2022-10-17 00:00:00.000","dex","31926","247369"
"USERS","2022-10-17 00:00:00.000","defi","11745","16563"
"TXS","2022-10-17 00:00:00.000","bridge","6130","26430"
"","2022-10-17 00:00:00.000","nft","16389","219081"
"","2022-10-24 00:00:00.000","bridge","9277","40127"
"","2022-10-24 00:00:00.000","nft","38874","553105"
"","2022-10-24 00:00:00.000","dapp","2","9915"
"","2022-10-24 00:00:00.000","defi","19200","33592"
"","2022-10-24 00:00:00.000","dex","48613","324607"
"","2022-10-31 00:00:00.000","bridge","5724","25900"
"","2022-10-31 00:00:00.000","nft","30697","213529"
"","2022-10-31 00:00:00.000","dex","32973","246652"
"","2022-10-31 00:00:00.000","dapp","4","16049"
"","2022-10-31 00:00:00.000","defi","10527","19233"
"","2022-11-07 00:00:00.000","dex","18987","219861"
"","2022-11-07 00:00:00.000","bridge","3830","17683"
"","2022-11-07 00:00:00.000","defi","6705","15958"
"","2022-11-07 00:00:00.000","nft","14651","91039"
"","2022-11-07 00:00:00.000","dapp","5","60406"
"","2022-11-14 00:00:00.000","dapp","3","63006"
"","2022-11-14 00:00:00.000","defi","3536","27918"
"","2022-11-14 00:00:00.000","bridge","2937","14543"
"","2022-11-14 00:00:00.000","nft","9365","74127"
"","2022-11-14 00:00:00.000","dex","13117","116255"
"","2022-11-21 00:00:00.000","nft","7214","46231"
"","2022-11-21 00:00:00.000","defi","4512","38308"
"","2022-11-21 00:00:00.000","dex","7842","78104"
"","2022-11-21 00:00:00.000","dapp","4","62732"
"","2022-11-21 00:00:00.000","bridge","2771","13495"
"","2022-11-28 00:00:00.000","dapp","5","62667"
"","2022-11-28 00:00:00.000","defi","3758","31215"
"","2022-11-28 00:00:00.000","nft","5867","35499"
"","2022-11-28 00:00:00.000","dex","8184","58697"
"","2022-11-28 00:00:00.000","bridge","2489","11564"
"","2022-12-05 00:00:00.000","dex","7967","50107"
"","2022-12-05 00:00:00.000","dapp","6","60652"
"","2022-12-05 00:00:00.000","nft","4906","27775"
"","2022-12-05 00:00:00.000","bridge","1935","10510"
"","2022-12-05 00:00:00.000","defi","2914","26266"
"","2022-12-12 00:00:00.000","dapp","4","58433"
"","2022-12-12 00:00:00.000","nft","3873","22623"
"","2022-12-12 00:00:00.000","defi","1931","35195"
"","2022-12-12 00:00:00.000","dex","6412","60298"
"","2022-12-12 00:00:00.000","bridge","1626","9316"
"","2022-12-19 00:00:00.000","dapp","7","58263"
"","2022-12-19 00:00:00.000","bridge","1322","6823"
"","2022-12-19 00:00:00.000","nft","3370","27742"
"","2022-12-19 00:00:00.000","defi","958","24345"
"","2022-12-19 00:00:00.000","dex","6203","40515"
"","2022-12-26 00:00:00.000","nft","3363","29903"
"","2022-12-26 00:00:00.000","defi","839","24906"
"","2022-12-26 00:00:00.000","bridge","1142","5543"
"","2022-12-26 00:00:00.000","dapp","4","58121"
"","2022-12-26 00:00:00.000","dex","4732","40963"
"","2023-01-02 00:00:00.000","defi","793","29864"
"","2023-01-02 00:00:00.000","nft","3396","29853"
"","2023-01-02 00:00:00.000","dex","4583","46471"
"","2023-01-02 00:00:00.000","dapp","4","57987"
"","2023-01-02 00:00:00.000","bridge","1082","6352"
"","2023-01-09 00:00:00.000","dapp","4","59581"
"","2023-01-09 00:00:00.000","dex","9549","139946"
"","2023-01-09 00:00:00.000","bridge","1224","6020"
"","2023-01-09 00:00:00.000","defi","1521","67841"
"","2023-01-09 00:00:00.000","nft","3843","32950"
"","2023-01-16 00:00:00.000","bridge","1149","6006"
"","2023-01-16 00:00:00.000","dex","9718","139321"
"","2023-01-16 00:00:00.000","dapp","3","89511"
"","2023-01-16 00:00:00.000","nft","4659","34929"
"","2023-01-16 00:00:00.000","defi","1635","161470"
"","2023-01-23 00:00:00.000","nft","6254","45802"
"","2023-01-23 00:00:00.000","bridge","1376","11006"
"","2023-01-23 00:00:00.000","defi","1745","119983"
"","2023-01-23 00:00:00.000","dex","13174","137254"
"","2023-01-23 00:00:00.000","dapp","4","97477"
"","2023-01-30 00:00:00.000","nft","4818","34410"
"","2023-01-30 00:00:00.000","dapp","7","37763"
"","2023-01-30 00:00:00.000","defi","1432","62954"
"","2023-01-30 00:00:00.000","dex","10047","88281"
"","2023-01-30 00:00:00.000","bridge","1442","5777"
"","2023-02-06 00:00:00.000","nft","4920","33430"
"","2023-02-06 00:00:00.000","dex","17556","130207"
"","2023-02-06 00:00:00.000","dapp","3","5137"
"","2023-02-06 00:00:00.000","bridge","1093","4673"
"","2023-02-06 00:00:00.000","defi","1016","59584"
"","2023-02-13 00:00:00.000","nft","4548","32643"
"","2023-02-13 00:00:00.000","bridge","1264","5806"
"","2023-02-13 00:00:00.000","defi","805","51186"
"","2023-02-13 00:00:00.000","dapp","4","5004"
"","2023-02-13 00:00:00.000","dex","15657","82724"
"","2023-02-20 00:00:00.000","dapp","3","5076"
"","2023-02-20 00:00:00.000","bridge","1262","6233"
"","2023-02-20 00:00:00.000","nft","4590","34796"
"","2023-02-20 00:00:00.000","defi","572","33356"
"","2023-02-20 00:00:00.000","dex","10761","65678"
"","2023-02-27 00:00:00.000","dapp","3","5193"
"","2023-02-27 00:00:00.000","nft","3891","26199"
"","2023-02-27 00:00:00.000","dex","7947","58904"
"","2023-02-27 00:00:00.000","defi","607","31648"
"","2023-02-27 00:00:00.000","bridge","1125","6233"
"","2023-03-06 00:00:00.000","defi","479","38730"
"","2023-03-06 00:00:00.000","dapp","3","5267"
"","2023-03-06 00:00:00.000","dex","8298","78032"
"","2023-03-06 00:00:00.000","bridge","969","4755"
"","2023-03-06 00:00:00.000","nft","3584","23865"
"","2023-03-13 00:00:00.000","dapp","4","4862"
"","2023-03-13 00:00:00.000","bridge","1976","10235"
"","2023-03-13 00:00:00.000","dex","7272","47516"
"","2023-03-13 00:00:00.000","defi","398","73196"
"","2023-03-13 00:00:00.000","nft","3370","20860"
"","2023-03-20 00:00:00.000","dex","9695","43440"
"","2023-03-20 00:00:00.000","defi","445","52392"
"","2023-03-20 00:00:00.000","dapp","3","3200"
"","2023-03-20 00:00:00.000","nft","3100","19300"
"","2023-03-20 00:00:00.000","bridge","6872","38765"
"","2023-03-27 00:00:00.000","defi","841","26190"
"","2023-03-27 00:00:00.000","bridge","10682","65326"
"","2023-03-27 00:00:00.000","nft","3024","20171"
"","2023-03-27 00:00:00.000","dapp","4","2885"
"","2023-03-27 00:00:00.000","token","2","4"
"","2023-03-27 00:00:00.000","dex","11867","50426"
"","2023-04-03 00:00:00.000","nft","3352","27291"
"","2023-04-03 00:00:00.000","dex","18415","66607"
"","2023-04-03 00:00:00.000","defi","631","22671"
"","2023-04-03 00:00:00.000","dapp","3","2525"
"","2023-04-03 00:00:00.000","token","241","918"
"","2023-04-03 00:00:00.000","bridge","19854","132935"
"","2023-04-10 00:00:00.000","dapp","3","2612"
"","2023-04-10 00:00:00.000","dex","19537","104133"
"","2023-04-10 00:00:00.000","token","418","1133"
"","2023-04-10 00:00:00.000","bridge","20288","176791"
"","2023-04-10 00:00:00.000","nft","2614","16877"
"","2023-04-10 00:00:00.000","defi","625","44219"
"","2023-04-17 00:00:00.000","defi","685","37040"
"","2023-04-17 00:00:00.000","bridge","17577","234778"
"","2023-04-17 00:00:00.000","token","168","770"
"","2023-04-17 00:00:00.000","dapp","3","2659"
"","2023-04-17 00:00:00.000","dex","14367","124710"
"","2023-04-17 00:00:00.000","nft","3596","21146"
"","2023-04-24 00:00:00.000","dapp","4","3071"
"","2023-04-24 00:00:00.000","defi","914","43261"
"","2023-04-24 00:00:00.000","bridge","13230","95743"
"","2023-04-24 00:00:00.000","nft","2338","13187"
"","2023-04-24 00:00:00.000","token","123","558"
"","2023-04-24 00:00:00.000","dex","12940","99069"
