DATE,SYMBOLS,TYPE,Price Changes
2024-08-16 00:00:00.000,OSMO,Other Tokens,-18.429156284
2024-08-16 00:00:00.000,APT,APT,-12.835431014
2024-08-16 00:00:00.000,APT,APT,6.661823465
2024-08-16 00:00:00.000,MATIC,Other Tokens,6.177704049
2024-08-16 00:00:00.000,MATIC,Other Tokens,-24.83697389
2024-08-16 00:00:00.000,BNB,Other Tokens,-0.9084940971
2024-08-16 00:00:00.000,MATIC,Other Tokens,-5.585125773
2024-08-16 00:00:00.000,ARB,Other Tokens,5.091541825
2024-08-16 00:00:00.000,OP,Other Tokens,-26.645768025
2024-08-16 00:00:00.000,BNB,Other Tokens,1.503515793
2024-08-16 00:00:00.000,ETH,Other Tokens,-1.751394901e-14
2024-08-16 00:00:00.000,BNB,Other Tokens,5.296349193
2024-08-16 00:00:00.000,WAVAX,Other Tokens,-3.228180444
2024-08-16 00:00:00.000,OP,Other Tokens,-29.72972973
2024-08-16 00:00:00.000,ATOM,Other Tokens,-2.791651802
2024-08-16 00:00:00.000,MATIC,Other Tokens,-1.674840728
2024-08-16 00:00:00.000,ATOM,Other Tokens,-27.959547888
2024-08-16 00:00:00.000,APT,APT,-12.230989957
2024-08-16 00:00:00.000,ETH,Other Tokens,-16.657030471
2024-08-16 00:00:00.000,ETH,Other Tokens,8.32364663
2024-08-16 00:00:00.000,WAVAX,Other Tokens,-34.200240732
2024-08-16 00:00:00.000,WAVAX,Other Tokens,0
2024-08-16 00:00:00.000,ARB,Other Tokens,-7.05478819
2024-08-16 00:00:00.000,ATOM,Other Tokens,-9.295938748
2024-08-16 00:00:00.000,OSMO,Other Tokens,-34.603978181
2024-08-16 00:00:00.000,MATIC,Other Tokens,-21.646880674
2024-08-16 00:00:00.000,WAVAX,Other Tokens,-2.256107361
2024-08-16 00:00:00.000,ATOM,Other Tokens,-18.108047186
2024-08-16 00:00:00.000,ARB,Other Tokens,-30.51302184
2024-08-16 00:00:00.000,NEAR,Other Tokens,8.797061524
2024-08-16 00:00:00.000,NEAR,Other Tokens,0.3812590019
2024-08-16 00:00:00.000,NEAR,Other Tokens,-35.383944154
2024-08-16 00:00:00.000,SEI,Other Tokens,-21.813031161
2024-08-16 00:00:00.000,ETH,Other Tokens,-21.673576637
2024-08-16 00:00:00.000,WAVAX,Other Tokens,-25.897100037
2024-08-16 00:00:00.000,SOL,Other Tokens,-6.960392756
2024-08-16 00:00:00.000,SEI,Other Tokens,-26.00536193
2024-08-16 00:00:00.000,MATIC,Other Tokens,-5.219944489
2024-08-16 00:00:00.000,MATIC,Other Tokens,-25.14017095
2024-08-16 00:00:00.000,MATIC,Other Tokens,-5.655884256
2024-08-16 00:00:00.000,OP,Other Tokens,-2.718260313
2024-08-16 00:00:00.000,OP,Other Tokens,-33.010350143
2024-08-16 00:00:00.000,OP,Other Tokens,-0.06570302234
2024-08-16 00:00:00.000,ARB,Other Tokens,-25.348186675
2024-08-16 00:00:00.000,SOL,Other Tokens,-19.659764434
2024-08-16 00:00:00.000,SOL,Other Tokens,0.09909195202
2024-08-16 00:00:00.000,APT,APT,14.408166446
2024-08-16 00:00:00.000,BNB,Other Tokens,-1.176897779
2024-08-16 00:00:00.000,MATIC,Other Tokens,-23.04971972
2024-08-16 00:00:00.000,ETH,Other Tokens,-22.051303605
2024-08-16 00:00:00.000,WAVAX,Other Tokens,-3.15690997
2024-08-16 00:00:00.000,OP,Other Tokens,-25.110782866
2024-08-16 00:00:00.000,FLOW,Other Tokens,-3.82049315
2024-08-16 00:00:00.000,WAVAX,Other Tokens,-32.20039019
2024-08-16 00:00:00.000,ARB,Other Tokens,-3.283082298
2024-08-16 00:00:00.000,OSMO,Other Tokens,-28.043685662
2024-08-16 00:00:00.000,FLOW,Other Tokens,1.086469913
2024-08-16 00:00:00.000,FLOW,Other Tokens,-2.708911737
2024-08-16 00:00:00.000,FLOW,Other Tokens,-3.789562669
2024-08-16 00:00:00.000,OSMO,Other Tokens,-6.948962925
2024-08-16 00:00:00.000,SOL,Other Tokens,-12.050880748
2024-08-16 00:00:00.000,SOL,Other Tokens,2.009696172e-14
2024-08-16 00:00:00.000,APT,APT,0.2868852459
2024-08-16 00:00:00.000,APT,APT,-5.350696235
2024-08-16 00:00:00.000,ETH,Other Tokens,-12.321708213
2024-08-16 00:00:00.000,ETH,Other Tokens,-1.405745855
2024-08-16 00:00:00.000,MATIC,Other Tokens,-25.905822936
2024-08-16 00:00:00.000,ARB,Other Tokens,-31.19298784
2024-08-16 00:00:00.000,ARB,Other Tokens,-16.773120307
