ACTIVITY_DATE,PLATFORM,CHAIN_PAIR,TOTAL_TRANSACTIONS,UNIQUE_USERS,TOTAL_RAW_AMOUNT,AVG_RAW_AMOUNT_PER_TX,AVG_RAW_AMOUNT_PER_TX_CALCULATED,USERS_PER_TRANSACTION_RATIO
2024-09-10 00:00:00.000,layerzero,Aptos -> BSC,32,25,178320078893,5572502465.40625,5572502465.40625,0.78125
2024-09-10 00:00:00.000,layerzero,BSC -> Aptos,25,1,424498054109,16979922164.36,16979922164.36,0.04
2024-09-10 00:00:00.000,layerzero,Arbitrum -> Aptos,21,1,39538462952,1882783950.095238,1882783950.095238,0.047619
2024-09-10 00:00:00.000,layerzero,Aptos -> Avalanche,15,15,6258267884,417217858.933333,417217858.933333,1
2024-09-10 00:00:00.000,layerzero,Optimism -> Aptos,13,1,7524253526,578788732.769231,578788732.769231,0.076923
2024-09-10 00:00:00.000,layerzero,Aptos -> Optimism,11,11,580070669,52733697.181818,52733697.181818,1
2024-09-10 00:00:00.000,layerzero,Aptos -> Arbitrum,11,10,78724225510,7156747773.636364,7156747773.636364,0.909091
2024-09-10 00:00:00.000,layerzero,Aptos -> Polygon,7,7,76475867980,10925123997.142857,10925123997.142857,1
2024-09-10 00:00:00.000,layerzero,Aptos -> Ethereum,7,7,134167254426,19166750632.285713,19166750632.285713,1
2024-09-10 00:00:00.000,wormhole,,6,5,10003715883400,1667285980566.6667,1667285980566.6667,0.833333
2024-09-10 00:00:00.000,layerzero,Ethereum -> Aptos,5,1,10650339247,2130067849.4,2130067849.4,0.2
2024-09-10 00:00:00.000,layerzero,Avalanche -> Aptos,4,1,6077578331,1519394582.75,1519394582.75,0.25
2024-09-10 00:00:00.000,wormhole,aptos -> sui,3,3,6181868495,2060622831.666667,2060622831.666667,1
2024-09-10 00:00:00.000,wormhole,aptos -> solana,3,3,225769331392,75256443797.33333,75256443797.33333,1
2024-09-10 00:00:00.000,layerzero,Polygon -> Aptos,2,1,4041753388,2020876694,2020876694,0.5
2024-09-10 00:00:00.000,wormhole,aptos -> ethereum,2,1,100100000,50050000,50050000,0.5
2024-09-10 00:00:00.000,wormhole,aptos -> arbitrum,1,1,4394198,4394198,4394198,1
2024-09-10 00:00:00.000,wormhole,aptos -> bsc,1,1,1000000,1000000,1000000,1
2024-09-09 00:00:00.000,layerzero,Aptos -> Arbitrum,78,75,4776216308,61233542.410256,61233542.410256,0.961538
2024-09-09 00:00:00.000,layerzero,Aptos -> BSC,72,52,425819576187,5914160780.375,5914160780.375,0.722222
2024-09-09 00:00:00.000,layerzero,BSC -> Aptos,59,1,214323879577,3632608128.423729,3632608128.423729,0.016949
2024-09-09 00:00:00.000,layerzero,Arbitrum -> Aptos,51,1,366839179959,7192925097.235294,7192925097.235294,0.019608
2024-09-09 00:00:00.000,wormhole,,41,21,6982800551695,170312208577.92682,170312208577.92682,0.512195
2024-09-09 00:00:00.000,layerzero,Aptos -> Avalanche,36,33,13953691622,387602545.055556,387602545.055556,0.916667
2024-09-09 00:00:00.000,layerzero,Aptos -> Optimism,26,26,459111628,17658139.538462,17658139.538462,1
2024-09-09 00:00:00.000,layerzero,Avalanche -> Aptos,23,1,50107812779,2178600555.608696,2178600555.608696,0.043478
2024-09-09 00:00:00.000,layerzero,Aptos -> Polygon,16,16,8524861812,532803863.25,532803863.25,1
2024-09-09 00:00:00.000,wormhole,aptos -> solana,16,8,25792373042265,1612023315141.5625,1612023315141.5625,0.5
2024-09-09 00:00:00.000,layerzero,Optimism -> Aptos,15,1,6450804876,430053658.4,430053658.4,0.066667
2024-09-09 00:00:00.000,wormhole,aptos -> sui,14,7,36351829249,2596559232.071429,2596559232.071429,0.5
2024-09-09 00:00:00.000,layerzero,Aptos -> Ethereum,10,9,96484635456,9648463545.6,9648463545.6,0.9
2024-09-09 00:00:00.000,layerzero,Polygon -> Aptos,7,1,7250810654,1035830093.428571,1035830093.428571,0.142857
2024-09-09 00:00:00.000,layerzero,Ethereum -> Aptos,7,1,6038234090,862604870,862604870,0.142857
2024-09-09 00:00:00.000,wormhole,aptos -> wormchain,4,3,4269629600,1067407400,1067407400,0.75
2024-09-09 00:00:00.000,wormhole,aptos -> ethereum,2,2,93025864279,46512932139.5,46512932139.5,1
2024-09-09 00:00:00.000,wormhole,aptos -> arbitrum,1,1,80660000,80660000,80660000,1
2024-09-09 00:00:00.000,wormhole,aptos -> optimism,1,1,255871566,255871566,255871566,1
2024-09-08 00:00:00.000,layerzero,Aptos -> Arbitrum,78,73,18350701677,235265406.115385,235265406.115385,0.935897
2024-09-08 00:00:00.000,layerzero,Arbitrum -> Aptos,56,1,28374475175,506687056.696429,506687056.696429,0.017857
2024-09-08 00:00:00.000,layerzero,Optimism -> Aptos,52,1,7103051180,136597138.076923,136597138.076923,0.019231
2024-09-08 00:00:00.000,layerzero,Aptos -> Optimism,51,40,3807836077,74663452.490196,74663452.490196,0.784314
2024-09-08 00:00:00.000,layerzero,BSC -> Aptos,30,1,105633627068,3521120902.266667,3521120902.266667,0.033333
2024-09-08 00:00:00.000,layerzero,Aptos -> BSC,28,26,36798421941,1314229355.035714,1314229355.035714,0.928571
2024-09-08 00:00:00.000,wormhole,,27,17,1365026574087556,50556539781020.59,50556539781020.59,0.62963
2024-09-08 00:00:00.000,layerzero,Ethereum -> Aptos,19,1,196077270941,10319856365.315788,10319856365.315788,0.052632
2024-09-08 00:00:00.000,layerzero,Avalanche -> Aptos,18,1,65515888779,3639771598.833333,3639771598.833333,0.055556
2024-09-08 00:00:00.000,wormhole,aptos -> solana,16,6,6175176896667,385948556041.6875,385948556041.6875,0.375
2024-09-08 00:00:00.000,wormhole,aptos -> sui,13,9,20848195822,1603707370.923077,1603707370.923077,0.692308
2024-09-08 00:00:00.000,layerzero,Aptos -> Polygon,10,10,4438877130,443887713,443887713,1
2024-09-08 00:00:00.000,layerzero,Aptos -> Ethereum,8,8,40297997010,5037249626.25,5037249626.25,1
2024-09-08 00:00:00.000,layerzero,Polygon -> Aptos,4,1,119574600,29893650,29893650,0.25
2024-09-08 00:00:00.000,layerzero,Aptos -> Avalanche,4,4,252244993,63061248.25,63061248.25,1
2024-09-08 00:00:00.000,mover,aptos -> Arbitrum,2,2,1993810,996905,996905,1
