SWAP_DATE,PLATFORM,TOTAL_SWAPS,UNIQUE_SWAPPERS,TOTAL_AMOUNT_IN,TOTAL_AMOUNT_OUT,UNIQUE_TOKENS_IN,UNIQUE_TOKENS_OUT,AVG_SWAPS_PER_USER,IMPLIED_FEE_PERCENTAGE
2024-09-10 00:00:00.000,cellana,13691,2450,3368289596529548,3180686595368736,18,17,5.588163,0.055697
2024-09-10 00:00:00.000,liquidswap,7992,1192,50445044874039736,54443633275530030,32,35,6.704698,-0.079266
2024-09-10 00:00:00.000,thala,4037,460,120301403832708,119446134117885,15,16,8.776087,0.007109
2024-09-10 00:00:00.000,pancake,2968,713,332833896547296,460987581636984,32,30,4.162693,-0.385038
2024-09-10 00:00:00.000,hippo,1552,267,181098071863955,994555820456597,27,27,5.812734,-4.491808
2024-09-10 00:00:00.000,cetus,698,11,3351694236,803053757,7,7,63.454545,0.760404
2024-09-10 00:00:00.000,auxexchange,681,135,4603173878,3988189705,9,11,5.044444,0.1336
2024-09-10 00:00:00.000,sushi,488,134,1483254216461,5990269963404,7,7,3.641791,-3.0386
2024-09-10 00:00:00.000,animeswap,321,113,642314553061,6451754693341,13,15,2.840708,-9.044541
2024-09-10 00:00:00.000,batswap,92,75,208521911104893,124879027687605,4,8,1.226667,0.401123
2024-09-09 00:00:00.000,cellana,27677,2773,7790522192549529,8107803804596813,17,18,9.980887,-0.040727
2024-09-09 00:00:00.000,liquidswap,27343,3191,206492918402918850,173542797649087840,54,49,8.568787,0.15957
2024-09-09 00:00:00.000,thala,12324,947,448653153469221,332307896386354,18,17,13.013728,0.259321
2024-09-09 00:00:00.000,pancake,6173,1484,1562708663231166,1695095249621118,39,40,4.159704,-0.084716
2024-09-09 00:00:00.000,hippo,4686,436,2203740209627882,1560582463997792,38,32,10.747706,0.291848
2024-09-09 00:00:00.000,sushi,1951,386,2642358155521,3740832497544,10,8,5.054404,-0.415717
2024-09-09 00:00:00.000,auxexchange,997,336,60176550626,8889069048,14,11,2.967262,0.852284
2024-09-09 00:00:00.000,animeswap,941,246,32306980284101,7436717298037,18,17,3.825203,0.769811
2024-09-09 00:00:00.000,cetus,936,21,7016884376,11508008161,8,10,44.571429,-0.640045
2024-09-09 00:00:00.000,batswap,316,186,1225403616990706,2348859419082757,14,13,1.698925,-0.916805
2024-09-08 00:00:00.000,cellana,25911,2274,7717363062986245,7527888748649263,17,17,11.394459,0.024552
2024-09-08 00:00:00.000,liquidswap,24435,2313,239618937820754270,219951915661475170,43,43,10.564202,0.082076
2024-09-08 00:00:00.000,thala,12999,805,329628436813875,296818723578114,17,16,16.147826,0.099535
2024-09-08 00:00:00.000,pancake,7628,2782,1633907934868801,1641942459206682,38,39,2.741912,-0.004917
