"EARLIEST_DATE","NEW_USERS","ONE_MONTH_LATER","TWO_MONTH_LATER","THREE_MONTH_LATER","FOUR_MONTH_LATER","FIVE_MONTH_LATER","SIX_MONTH_LATER","SEVEN_MONTH_LATER","EIGHT_MONTH_LATER","NINE_MONTH_LATER","TEN_MONTH_LATER","ELEVEN_MONTH_LATER","TWELVE_MONTH_LATER"
"2023-08","         131,782","61.00%","52.00%","42.00%","45.00%","33.00%","29.00%","49.00%","23.00%","21.00%","12.00%","9.00%","8.00%"
"2023-09","          87,841","53.00%","30.00%","46.00%","37.00%","18.00%","36.00%","18.00%","11.00%","8.00%","7.00%","5.00%","null"
"2023-10","          55,153","28.00%","32.00%","16.00%","15.00%","35.00%","12.00%","8.00%","5.00%","5.00%","6.00%","null","null"
"2023-11","          49,022","24.00%","13.00%","13.00%","21.00%","10.00%","8.00%","4.00%","3.00%","3.00%","null","null","null"
"2023-12","          93,634","25.00%","15.00%","65.00%","16.00%","10.00%","8.00%","8.00%","7.00%","null","null","null","null"
"2024-01","         143,461","6.00%","11.00%","4.00%","3.00%","8.00%","1.00%","1.00%","null","null","null","null","null"
"2024-02","          49,425","60.00%","20.00%","13.00%","9.00%","7.00%","9.00%","null","null","null","null","null","null"
"2024-03","         385,240","12.00%","6.00%","5.00%","3.00%","3.00%","null","null","null","null","null","null","null"
"2024-04","          73,401","24.00%","21.00%","14.00%","11.00%","null","null","null","null","null","null","null","null"
"2024-05","          57,146","26.00%","17.00%","14.00%","null","null","null","null","null","null","null","null","null"
"2024-06","          36,962","29.00%","21.00%","null","null","null","null","null","null","null","null","null","null"
"2024-07","          38,589","12.00%","null","null","null","null","null","null","null","null","null","null","null"
"2024-08","          22,982","null","null","null","null","null","null","null","null","null","null","null","null"
