"DAY","TYPE","NEW"
"2024-03-18 00:00:00.000","defi","12542"
"2024-03-08 00:00:00.000","defi","1285"
"2024-08-24 00:00:00.000","defi","165"
"2024-05-12 00:00:00.000","defi","544"
"2024-06-17 00:00:00.000","dex","1035"
"2024-04-17 00:00:00.000","dex","2375"
"2024-03-17 00:00:00.000","bridge","4554"
"2024-02-05 00:00:00.000","bridge","1023"
"2024-01-11 00:00:00.000","bridge","975"
"2024-07-20 00:00:00.000","dapp","456"
"2024-02-16 00:00:00.000","dex","1527"
"2024-03-18 00:00:00.000","nft","3021"
"2024-05-01 00:00:00.000","defi","1473"
"2024-07-17 00:00:00.000","dapp","280"
"2024-08-02 00:00:00.000","dex","656"
"2024-06-28 00:00:00.000","defi","658"
"2024-05-29 00:00:00.000","nft","336"
"2024-05-16 00:00:00.000","nft","684"
"2024-07-03 00:00:00.000","dex","527"
"2024-05-05 00:00:00.000","dapp","493"
"2024-08-19 00:00:00.000","dapp","65"
"2024-06-30 00:00:00.000","nft","275"
"2024-01-20 00:00:00.000","dapp","121"
"2024-06-11 00:00:00.000","bridge","101"
"2024-02-05 00:00:00.000","defi","581"
"2024-09-07 00:00:00.000","bridge","24"
"2024-01-25 00:00:00.000","bridge","914"
"2024-03-30 00:00:00.000","dex","2714"
"2024-01-12 00:00:00.000","bridge","916"
"2024-01-02 00:00:00.000","nft","430"
"2024-07-02 00:00:00.000","nft","102"
"2024-07-05 00:00:00.000","defi","363"
"2024-08-15 00:00:00.000","dapp","126"
"2024-04-11 00:00:00.000","nft","2548"
"2024-03-29 00:00:00.000","defi","2653"
"2024-06-29 00:00:00.000","dex","580"
"2024-03-28 00:00:00.000","defi","2522"
"2024-02-08 00:00:00.000","defi","942"
"2024-05-24 00:00:00.000","nft","1017"
"2024-01-26 00:00:00.000","bridge","1074"
"2024-01-19 00:00:00.000","bridge","994"
"2024-03-27 00:00:00.000","defi","3286"
"2024-06-11 00:00:00.000","dex","715"
"2024-02-07 00:00:00.000","defi","783"
"2024-07-28 00:00:00.000","dex","375"
"2024-08-30 00:00:00.000","defi","328"
"2024-06-26 00:00:00.000","defi","469"
"2024-02-15 00:00:00.000","nft","394"
"2024-01-03 00:00:00.000","nft","402"
"2024-07-12 00:00:00.000","dex","330"
"2024-06-24 00:00:00.000","defi","356"
"2024-05-03 00:00:00.000","nft","100"
"2024-02-08 00:00:00.000","dex","654"
"2024-09-12 00:00:00.000","dex","89"
"2024-08-21 00:00:00.000","nft","119"
"2024-03-08 00:00:00.000","dapp","495"
"2024-03-24 00:00:00.000","nft","32577"
"2024-04-10 00:00:00.000","nft","1369"
"2024-03-26 00:00:00.000","dapp","3051"
"2024-03-05 00:00:00.000","defi","879"
"2024-06-15 00:00:00.000","dex","581"
"2024-04-29 00:00:00.000","dapp","646"
"2024-01-13 00:00:00.000","dex","465"
"2024-07-01 00:00:00.000","bridge","494"
"2024-04-04 00:00:00.000","defi","1548"
"2024-04-16 00:00:00.000","bridge","2181"
"2024-06-01 00:00:00.000","nft","316"
"2024-05-07 00:00:00.000","nft","332"
"2024-06-21 00:00:00.000","dapp","265"
"2024-02-01 00:00:00.000","bridge","725"
"2024-02-25 00:00:00.000","bridge","564"
"2024-08-27 00:00:00.000","dapp","188"
"2024-09-02 00:00:00.000","bridge","81"
"2024-03-16 00:00:00.000","nft","33939"
"2024-04-15 00:00:00.000","dex","1855"
"2024-02-16 00:00:00.000","defi","777"
"2024-06-02 00:00:00.000","dex","912"
"2024-03-18 00:00:00.000","dapp","2999"
"2024-03-28 00:00:00.000","dapp","1758"
"2024-06-27 00:00:00.000","dex","731"
"2024-05-18 00:00:00.000","dex","1484"
"2024-05-05 00:00:00.000","dex","794"
"2024-04-05 00:00:00.000","defi","1442"
"2024-02-18 00:00:00.000","bridge","514"
"2024-05-20 00:00:00.000","nft","924"
"2024-05-08 00:00:00.000","nft","304"
