FIRST_TX,New Wallets,New Active Users,Cumulative New Wallets,Cumulative Active Users,Active Only 1 Day,Active >= 2 Day,Active >= 5 Day,Active >= 7 Day,Active >= 14 Day,Active >= 50 Day,Active >= 100 Day,Active >= 200 Day
2024-09-11 00:00:00.000,641,0,1535924,20664,782696,753228,321273,228443,153264,7625,2023,256
2024-09-10 00:00:00.000,547,0,1535283,20664,782055,753228,321273,228443,153264,7625,2023,256
2024-09-09 00:00:00.000,390,0,1534736,20664,781612,753124,321273,228443,153264,7625,2023,256
2024-09-08 00:00:00.000,233,0,1534346,20664,781253,753093,321273,228443,153264,7625,2023,256
2024-09-07 00:00:00.000,262,0,1534113,20664,781029,753084,321273,228443,153264,7625,2023,256
2024-09-06 00:00:00.000,409,0,1533851,20664,780863,752988,321270,228443,153264,7625,2023,256
2024-09-05 00:00:00.000,413,1,1533442,20664,780641,752801,321268,228443,153264,7625,2023,256
2024-09-04 00:00:00.000,568,5,1533029,20663,780381,752648,321264,228442,153264,7625,2023,256
2024-09-03 00:00:00.000,467,1,1532461,20658,779931,752530,321257,228437,153264,7625,2023,256
2024-09-02 00:00:00.000,501,2,1531994,20657,779643,752351,321254,228436,153264,7625,2023,256
2024-09-01 00:00:00.000,316,1,1531493,20655,779308,752185,321250,228434,153262,7625,2023,256
2024-08-31 00:00:00.000,449,3,1531177,20654,779149,752028,321241,228433,153262,7625,2023,256
2024-08-30 00:00:00.000,233,3,1530728,20651,778764,751964,321232,228430,153260,7625,2023,256
2024-08-29 00:00:00.000,177,1,1530495,20648,778615,751880,321224,228427,153259,7625,2023,256
2024-08-28 00:00:00.000,244,71,1530318,20647,778504,751814,321218,228426,153259,7625,2023,256
2024-08-27 00:00:00.000,243,6,1530074,20576,778398,751676,321144,228355,153193,7625,2023,256
2024-08-26 00:00:00.000,201,4,1529831,20570,778249,751582,321131,228349,153191,7625,2023,256
2024-08-25 00:00:00.000,140,8,1529630,20566,778087,751543,321124,228345,153187,7625,2023,256
2024-08-24 00:00:00.000,132,0,1529490,20558,778000,751490,321114,228336,153187,7625,2023,256
2024-08-23 00:00:00.000,131,1,1529358,20558,777910,751448,321112,228336,153187,7625,2023,256
2024-08-22 00:00:00.000,223,5,1529227,20557,777816,751411,321108,228335,153187,7625,2023,256
2024-08-21 00:00:00.000,162,0,1529004,20552,777672,751332,321098,228328,153183,7625,2023,256
2024-08-20 00:00:00.000,267,2,1528842,20552,777580,751262,321098,228328,153183,7625,2023,256
