DATE,TRADE_TYPE,N_TXS,TOTAL_SWAPS,N_USER,VOLUME,TOTAL_VOLUME
2024-09-10 00:00:00.000,Sell Action,2450,121648,45,20905498.8714242,150457047.765719
2024-09-10 00:00:00.000,Buy Action,2566,127755,88,820454.864025972,59181023.8287533
2024-09-09 00:00:00.000,Buy Action,2654,125189,106,868568.205129084,58360568.9647273
2024-09-09 00:00:00.000,Sell Action,2544,119198,60,12652069.3808588,129551548.894295
2024-09-08 00:00:00.000,Sell Action,2516,116654,41,960302.232008428,116899479.513436
2024-09-08 00:00:00.000,Buy Action,2672,122535,69,1038367.49615593,57492000.7595982
2024-09-07 00:00:00.000,Buy Action,2744,119863,87,8484240.86153925,56453633.2634423
2024-09-07 00:00:00.000,Sell Action,2564,114138,47,40282854.8964402,115939177.281428
2024-09-06 00:00:00.000,Buy Action,2767,117119,78,978076.051702268,47969392.4019031
2024-09-06 00:00:00.000,Sell Action,2615,111574,60,977333.190837675,75656322.3849874
2024-09-05 00:00:00.000,Buy Action,4707,114352,99,835774.993372523,46991316.3502008
2024-09-05 00:00:00.000,Sell Action,4648,108959,69,832695.128227966,74678989.1941497
2024-09-04 00:00:00.000,Buy Action,5635,109645,62,961348.161060523,46155541.3568283
2024-09-04 00:00:00.000,Sell Action,5610,104311,63,5395140.01437783,73846294.0659217
2024-09-03 00:00:00.000,Sell Action,5445,98701,80,1064093.05603965,68451154.0515439
2024-09-03 00:00:00.000,Buy Action,5530,104010,83,1060302.13874179,45194193.1957677
2024-09-02 00:00:00.000,Buy Action,5516,98480,84,1457131.33140619,44133891.057026
2024-09-02 00:00:00.000,Sell Action,5429,93256,63,1135409.18763099,67387060.9955043
2024-09-01 00:00:00.000,Sell Action,5786,87827,65,1038575.82635281,66251651.8078733
2024-09-01 00:00:00.000,Buy Action,5824,92964,66,1036905.11873414,42676759.7256198
2024-08-31 00:00:00.000,Sell Action,5305,82041,67,1015330.48270514,65213075.9815205
2024-08-31 00:00:00.000,Buy Action,5250,87140,70,1015406.77266938,41639854.6068856
2024-08-30 00:00:00.000,Buy Action,4502,81890,73,522026.983344742,40624447.8342162
2024-08-30 00:00:00.000,Sell Action,4650,76736,65,521339.049830816,64197745.4988153
2024-08-29 00:00:00.000,Sell Action,5203,72086,66,2236954.74939515,63676406.4489845
2024-08-29 00:00:00.000,Buy Action,5172,77388,66,614828.256240493,40102420.8508715
2024-08-28 00:00:00.000,Buy Action,4987,72216,80,633254.396517929,39487592.594631
2024-08-28 00:00:00.000,Sell Action,5052,66883,81,582959.716332908,61439451.6995894
2024-08-27 00:00:00.000,Buy Action,5698,67229,75,1463326.98198915,38854338.1981131
2024-08-27 00:00:00.000,Sell Action,5657,61831,78,751944.581590662,60856491.9832565
2024-08-26 00:00:00.000,Sell Action,5097,56174,78,742776.244119872,60104547.4016658
2024-08-26 00:00:00.000,Buy Action,5294,61531,54,6504765.90065734,37391011.2161239
2024-08-25 00:00:00.000,Buy Action,5727,56237,55,838398.164954466,30886245.3154666
2024-08-25 00:00:00.000,Sell Action,5661,51077,57,812365.875669708,59361771.1575459
2024-08-24 00:00:00.000,Sell Action,5559,45416,76,783404.36567682,58549405.2818762
2024-08-24 00:00:00.000,Buy Action,5599,50510,60,981424.437678467,30047847.1505121
2024-08-23 00:00:00.000,Buy Action,5611,44911,65,969949.367358112,29066422.7128336
2024-08-23 00:00:00.000,Sell Action,5608,39857,73,3997858.32834483,57766000.9161994
2024-08-22 00:00:00.000,Sell Action,4431,34249,67,553906.961082587,53768142.5878545
2024-08-22 00:00:00.000,Buy Action,4463,39300,57,867641.48861108,28096473.3454755
2024-08-21 00:00:00.000,Sell Action,4080,29818,63,516514.573863313,53214235.626772
2024-08-21 00:00:00.000,Buy Action,4228,34837,69,5005531.84512831,27228831.8568644
2024-08-20 00:00:00.000,Sell Action,4325,25738,77,49914991.4400069,52697721.0529087
2024-08-20 00:00:00.000,Buy Action,4380,30609,63,1582332.78554535,22223300.0117361
2024-08-19 00:00:00.000,Sell Action,4579,21413,60,370820.372148267,2782729.61290178
2024-08-19 00:00:00.000,Buy Action,4346,26229,60,364215.844807313,20640967.2261908
2024-08-18 00:00:00.000,Buy Action,2823,21883,64,356318.386116191,20276751.3813835
2024-08-18 00:00:00.000,Sell Action,2114,16834,58,281919.777437316,2411909.24075351
2024-08-17 00:00:00.000,Sell Action,2032,14720,52,282730.484428294,2129989.46331619
2024-08-17 00:00:00.000,Buy Action,2732,19060,52,7622025.66755657,19920432.9952673
2024-08-16 00:00:00.000,Sell Action,2072,12688,62,278559.978707098,1847258.9788879
2024-08-16 00:00:00.000,Buy Action,2682,16328,51,2044920.158613,12298407.3277107
2024-08-15 00:00:00.000,Buy Action,2648,13646,49,7114127.22647507,10253487.1690977
2024-08-15 00:00:00.000,Sell Action,2042,10616,60,291839.031157773,1568699.0001808
2024-08-14 00:00:00.000,Buy Action,2702,10998,76,392653.462885629,3139359.94262265
2024-08-14 00:00:00.000,Sell Action,2107,8574,94,322815.941149484,1276859.96902303
2024-08-13 00:00:00.000,Sell Action,2160,6467,55,332930.419270983,954044.027873543
2024-08-13 00:00:00.000,Buy Action,2767,8296,61,334773.858136336,2746706.47973702
2024-08-12 00:00:00.000,Sell Action,2195,4307,75,310963.652940211,621113.60860256
2024-08-12 00:00:00.000,Buy Action,2753,5529,58,1451798.45328248,2411932.62160068
2024-08-11 00:00:00.000,Sell Action,2112,2112,62,310149.955662349,310149.955662349
2024-08-11 00:00:00.000,Buy Action,2776,2776,55,960134.168318202,960134.168318202
