DATE,ASSET,N_TXS,TOTAL_SWAPS,N_USER,VOLUME,TOTAL_VOLUME
2024-09-10 00:00:00.000,ROO,1,60,1,79.356216691,1830931.43990403
2024-09-10 00:00:00.000,APTO,4,161,1,321.469627646,75144369.4148289
2024-09-10 00:00:00.000,APARTMENT,5,53,4,20107483.6581772,59688484.1661913
2024-09-10 00:00:00.000,SHRIMP,2,101,2,30.608543146,14838.370145536
2024-09-10 00:00:00.000,DONK,91,4339,4,3090.442101858,168485.070341468
2024-09-10 00:00:00.000,doodoo,3793,208680,24,1520771.24458336,38391859.4926314
2024-09-10 00:00:00.000,GUI,98,3647,49,37906.456103681,32856166.2495294
2024-09-10 00:00:00.000,UPTOS,1010,32129,9,56187.970625315,1542242.09180121
2024-09-10 00:00:00.000,CHEWY,12,155,12,82.529471216,632.513630142
2024-09-09 00:00:00.000,SHRIMP,4,99,4,19.777491934,14807.76160239
2024-09-09 00:00:00.000,APTO,2,157,2,11788104.4245492,75144047.9452013
2024-09-09 00:00:00.000,ROO,5,59,3,21.433613144,1830852.08368734
2024-09-09 00:00:00.000,doodoo,3901,204887,32,1629720.24926747,36871088.2480481
2024-09-09 00:00:00.000,FOMO,2,73,1,1.378791515,4.187883347
2024-09-09 00:00:00.000,DONK,106,4248,5,3454.386178507,165394.62823961
2024-09-09 00:00:00.000,UPTOS,1046,31119,12,58834.2721705,1486054.1211759
2024-09-09 00:00:00.000,APARTMENT,2,48,1,57.825666667,39581000.5080141
2024-09-09 00:00:00.000,GUI,130,3549,75,40423.83825895,32818259.7934257
2024-09-08 00:00:00.000,GUI,66,3419,37,96674.628942655,32777835.9551668
2024-09-08 00:00:00.000,CHEWY,1,143,1,3.983777015,549.984158926
2024-09-08 00:00:00.000,APTO,3,155,3,42.905639252,63355943.5206521
2024-09-08 00:00:00.000,FOMO,1,71,1,2.725188423,2.809091832
2024-09-08 00:00:00.000,APARTMENT,3,46,3,10.093327415,39580942.6823474
2024-09-08 00:00:00.000,DONK,108,4142,4,3185.512725382,161940.242061103
2024-09-08 00:00:00.000,UPTOS,1043,30073,13,64548.216465887,1427219.8490054
2024-09-08 00:00:00.000,doodoo,3962,200986,28,1834199.74457878,35241367.9987806
2024-09-08 00:00:00.000,ROO,1,54,1,1.91751955,1830830.6500742
2024-09-07 00:00:00.000,SHRIMP,4,95,3,1.427263575,14787.984110457
2024-09-07 00:00:00.000,GUI,126,3353,54,7591209.94033349,32681161.3262241
2024-09-07 00:00:00.000,FOMO,2,70,2,0.0185079605,0.08390340833
2024-09-07 00:00:00.000,doodoo,3988,197024,31,1729050.28650982,33407168.2542018
2024-09-07 00:00:00.000,APARTMENT,3,43,3,39379493.6677075,39580932.58902
2024-09-07 00:00:00.000,ROO,2,53,2,0.07555507333,1830828.73255465
2024-09-07 00:00:00.000,APTO,1,152,1,0.01988598333,63355900.6150128
2024-09-07 00:00:00.000,DONK,110,4034,3,3371.092329761,158754.729335722
2024-09-07 00:00:00.000,UPTOS,1072,29030,12,63969.229886314,1362671.63253951
2024-09-06 00:00:00.000,DONK,141,3924,5,4750.128145275,155383.63700596
2024-09-06 00:00:00.000,UPTOS,1125,27958,19,64601.226197434,1298702.4026532
2024-09-06 00:00:00.000,SHRIMP,1,91,1,0.02981379396,14786.556846881
2024-09-06 00:00:00.000,doodoo,3997,193036,32,1863094.23754369,31678117.967692
2024-09-06 00:00:00.000,APARTMENT,4,40,2,43.150636073,201438.921312527
2024-09-06 00:00:00.000,CHEWY,2,142,2,18.648759244,546.000381911
2024-09-06 00:00:00.000,GUI,112,3227,53,22901.821444437,25089951.3858906
2024-09-05 00:00:00.000,APTO,4,151,4,55.602011664,63355900.5951268
2024-09-05 00:00:00.000,doodoo,7968,189039,25,1570083.5468431,29815023.7301483
2024-09-05 00:00:00.000,APARTMENT,1,36,1,13.735118447,201395.770676454
2024-09-05 00:00:00.000,DONK,132,3783,3,4308.229868371,150633.508860685
2024-09-05 00:00:00.000,CHEWY,23,140,8,403.90946198,527.351622667
2024-09-05 00:00:00.000,WOOF,1,3,1,0.5878333333,58.597585506
2024-09-05 00:00:00.000,GUI,128,3115,78,22869.374676261,25067049.5644462
2024-09-05 00:00:00.000,SHRIMP,2,90,2,5.878451664,14786.527033087
2024-09-05 00:00:00.000,UPTOS,1096,26833,18,70729.257335664,1234101.17645576
2024-09-04 00:00:00.000,SHRIMP,1,88,1,0.184375,14780.648581423
2024-09-04 00:00:00.000,APARTMENT,3,35,2,14.822610255,201382.035558007
2024-09-04 00:00:00.000,CHEWY,3,117,3,13.875279478,123.442160686
2024-09-04 00:00:00.000,doodoo,9919,181071,24,1813346.73381378,28244940.1833052
2024-09-04 00:00:00.000,APTO,5,147,5,4436135.87763729,63355844.9931151
2024-09-04 00:00:00.000,DONK,154,3651,4,5791.182592085,146325.278992315
2024-09-04 00:00:00.000,GUI,90,2987,45,20483.366088901,25044180.1897699
2024-09-04 00:00:00.000,ROO,2,51,1,682.1875,1830828.65699957
2024-09-04 00:00:00.000,UPTOS,1068,25737,12,80019.945541552,1163371.9191201
2024-09-03 00:00:00.000,doodoo,9559,171152,26,1998279.71887552,26431593.4494914
2024-09-03 00:00:00.000,UPTOS,1050,24669,27,88554.57399268,1083351.97357855
2024-09-03 00:00:00.000,CHEWY,4,114,4,0.1573560418,109.566881209
2024-09-03 00:00:00.000,SHRIMP,2,87,2,2.642763861,14780.464206423
2024-09-03 00:00:00.000,DONK,161,3497,3,5788.454048063,140534.096400229
2024-09-03 00:00:00.000,APTO,3,142,3,39.902036667,58919709.1154779
2024-09-03 00:00:00.000,ROO,2,49,1,38.791000641,1830146.46949957
2024-09-03 00:00:00.000,APARTMENT,6,32,2,86.469441272,201367.212947752
2024-09-03 00:00:00.000,GUI,188,2897,59,31604.485266696,25023696.823681
2024-09-02 00:00:00.000,DONK,180,3336,3,6751.528961294,134745.642352167
2024-09-02 00:00:00.000,SHRIMP,2,85,2,0.1589315649,14777.821442562
2024-09-02 00:00:00.000,CHEWY,2,110,2,1.265616668,109.409525167
