"DATE","PLATFORM_NAME","Transactions","Sales","Cumulative Sales","Cumulative Transactions","Buyers","Sellers","Collections","Platforms","Volume (APT)","Avg Price (APT)","Median Price (APT)","Max Price (APT)","Min Price (APT)","Platform Fees (APT)","AVG_7_DAY_MOVING","AVG_14_DAY_MOVING","AVG_30_DAY_MOVING","DAY","AVG_PRICE","Volume (USD)"
"2024-01-01 00:00:00.000","Mercato","1094","1883","27837","15768","415","397","1773","1","6623.02370421","3.517272281","0.4","111","0.001","360.49140304","15762.333663697","12316.729507667","6623.02370421","2024-01-01 00:00:00.000","9.53994074","63183.253657195"
"2024-01-01 00:00:00.000","Wapal","1862","6550","27837","15768","574","509","5872","1","2492.10835631","0.3804745582","0.0035","76","0.001","37.38162334","8626.517731163","10351.805277396","4557.56603026","2024-01-01 00:00:00.000","9.53994074","23774.566036636"
"2024-01-01 00:00:00.000","BlueMove","7290","11585","27837","15768","1312","1180","10708","2","1974.10903958","0.1704021614","0.08897245","79.9","0.0001","45.79860792","9853.399606134","989.99851979","3696.413700033","2024-01-01 00:00:00.000","9.53994074","18832.883251717"
"2024-01-01 00:00:00.000","Topaz","5514","7811","27837","15768","1803","2091","6597","1","40663.89728688","5.205978401","0.27","100","4.7E-07","2609.72263153","20331.98864344","14214.631442153","12938.284596745","2024-01-01 00:00:00.000","9.53994074","387931.170370696"
"2024-01-01 00:00:00.000","Souffl3","4","4","27837","15768","4","4","4","1","185.325","46.33125","55","75","0.325","72.948125","7420.633055283","8657.39189783","10387.692677396","2024-01-01 00:00:00.000","9.53994074","1767.989517624"
"2024-01-01 00:00:00.000","Okx","1","1","27837","15768","1","1","1","1","0.08","0.08","0.08","0.08","0.08","0","0.08","7420.633055283","8656.42389783","2024-01-01 00:00:00.000","9.53994074","0.7631952592"
"2024-01-01 00:00:00.000","Seashrine","3","3","27837","15768","3","3","3","1","5.888","1.962666667","1","4","0.888","0","11823.222247772","5.888","7420.633055283","2024-01-01 00:00:00.000","9.53994074","56.171171077"
"2024-01-08 00:00:00.000","Souffl3","3","3","47427","27124","3","3","3","1","2.62","0.8733333333","0.72","1.4","0.5","1.1026","2828.608055576","5710.988344419","6493.381423372","2024-01-08 00:00:00.000","8.417054037","22.052681578"
"2024-01-08 00:00:00.000","Mercato","802","2242","47427","27124","400","314","2151","1","3193.98220049","1.424612935","0.19","72","0.001","189.66570508","3121.981305847","6892.301698434","6126.781509719","2024-01-08 00:00:00.000","8.417054037","26883.920775928"
"2024-01-08 00:00:00.000","BlueMove","5200","6053","47427","27124","1002","826","5784","2","735.82511753","0.1215637068","0.098","69.5","0.001","17.50286205","6585.032063064","6208.248745","5587.6858705","2024-01-08 00:00:00.000","8.417054037","6193.479776306"
"2024-01-08 00:00:00.000","Seashrine","2","2","47427","27124","2","2","2","1","1.85","0.925","0.925","1.1","0.75","0","6585.253313064","5587.6088705","5079.882609545","2024-01-08 00:00:00.000","8.417054037","15.571549969"
"2024-01-08 00:00:00.000","Wapal","1465","6106","47427","27124","684","361","5267","1","1133.00084126","0.1855553294","0.0098","80","0.001","16.99500915","2969.497160734","6186.685706454","4750.975795522","2024-01-08 00:00:00.000","8.417054037","9536.529305273"
"2024-01-08 00:00:00.000","Topaz","3884","5184","47427","27124","1186","1385","4585","1","17231.13893119","3.323907973","0.12","200","4.4E-07","1007.83859033","3656.158518602","6646.11160329","5710.988344419","2024-01-08 00:00:00.000","8.417054037","145035.427509289"
"2024-01-15 00:00:00.000","Topaz","3205","4577","65969","38290","878","1289","3832","1","9154.06104081","2.000013336","0.0577","415","4E-07","490.36905117","3954.72539141","5956.922108447","5956.922108447","2024-01-15 00:00:00.000","9.940743751","90998.175091952"
"2024-01-15 00:00:00.000","Souffl3","1","1","65969","38290","1","1","1","1","0.4","0.4","0.4","0.4","0.4","0.01","3931.60976641","5559.820634551","5559.820634551","2024-01-15 00:00:00.000","9.940743751","3.976297501"
"2024-01-15 00:00:00.000","Mercato","808","2051","65969","38290","316","323","2035","1","1843.48961891","0.8988247776","0.01","52","0.0001","113.70526711","4070.067829082","5682.327409145","5327.549946073","2024-01-15 00:00:00.000","9.940743751","18325.657910068"
"2024-01-15 00:00:00.000","Wapal","2991","6421","65969","38290","1744","284","5651","1","1954.75555862","0.3044316397","0.00899999","60","0.001","29.32132869","4314.18102391","5681.037177081","5129.150276223","2024-01-15 00:00:00.000","9.940743751","19431.724104991"
"2024-01-15 00:00:00.000","BlueMove","4161","5492","65969","38290","749","557","5281","2","692.08520971","0.1260169719","0.082","22.22","0.001","16.75624287","2246.799308725","3016.249705269","4882.646661417","2024-01-15 00:00:00.000","9.940743751","6879.841723905"
"2024-01-22 00:00:00.000","Topaz","16151","17550","147966","109672","7475","10048","10233","1","15226.92184125","0.8676308741","0.099","130","1E-07","1163.07371004","4008.223808724","3337.507784503","5427.082197197","2024-01-22 00:00:00.000","8.244402829","125536.877503963"
"2024-01-22 00:00:00.000","Mercato","11374","13395","147966","109672","7148","7710","8825","1","2668.26527807","0.1991986023","0.08","60","0","126.33412817","3234.140947416","3698.688133391","5289.141351241","2024-01-22 00:00:00.000","8.244402829","21998.253806868"
"2024-01-22 00:00:00.000","BlueMove","23264","24787","147966","109672","14198","12698","11473","2","3487.11507277","0.140683224","0.097","19","1E-07","84.59124921","4044.865417759","3520.927114853","5203.330576076","2024-01-22 00:00:00.000","8.244402829","28749.181370765"
"2024-01-22 00:00:00.000","Souffl3","79","115","147966","109672","66","64","115","1","21.56059999","0.1874834782","0.2","0.57","0.01","3.34714799","3236.786022415","2576.152164988","4967.795577163","2024-01-22 00:00:00.000","8.244402829","177.754271551"
"2024-01-22 00:00:00.000","Seashrine","1","4","147966","109672","1","1","4","1","14","3.5","3.5","3.5","3.5","0","3020.107001259","2410.944941234","4752.413160764","2024-01-22 00:00:00.000","8.244402829","115.421639605"
"2024-01-22 00:00:00.000","Wapal","20512","26145","147966","109672","14406","7328","16928","1","2050.81300828","0.07843996972","0.0167","45","0.001","30.76217549","3262.701446086","2535.310808453","4639.846487744","2024-01-22 00:00:00.000","8.244402829","16907.728567079"
"2024-01-22 00:00:00.000","Okx","1","1","147966","109672","1","1","1","1","0.095","0.095","0.095","0.095","0.095","0","2246.483683725","2535.311808453","4454.256428234","2024-01-22 00:00:00.000","8.244402829","0.7832182687"
"2024-01-29 00:00:00.000","Okx","1","1","293171","245945","1","1","1","1","0.16","0.16","0.16","0.16","0.16","0","2933.616350045","2549.956204645","4282.945027148","2024-01-29 00:00:00.000","9.11848769","1.45895803"
"2024-01-29 00:00:00.000","Souffl3","141","141","293171","245945","136","109","141","1","84.7952","0.6013843972","0.25","60","0.01","2.11988","3108.955389364","3372.375878111","4127.457996513","2024-01-29 00:00:00.000","9.11848769","773.203987397"
