"DATE","Transactions","Sales","Cumulative Sales","Cumulative Transactions","Buyers","Sellers","Collections","Platforms","Volume (APT)","Avg Price (APT)","Median Price (APT)","Max Price (APT)","Min Price (APT)","Platform Fees (APT)","AVG_7_DAY_MOVING","AVG_14_DAY_MOVING","AVG_30_DAY_MOVING","DAY","AVG_PRICE","Volume (USD)"
"2024-01-01 00:00:00.000","1802","2453","2453","1802","582","517","2364","6","4050.73059302","1.65133738","0.069","68","0.0001","224.86272683","4050.73059302","4050.73059302","4050.73059302","2024-01-01 00:00:00.000","9.53994074","38643.729810759"
"2024-01-02 00:00:00.000","1947","4137","6590","3749","912","774","3833","6","6757.68839031","1.63347556","0.0741","77","0.00007219","424.01939424","5404.209491665","5404.209491665","5404.209491665","2024-01-02 00:00:00.000","10.131267376","68463.947925526"
"2024-01-03 00:00:00.000","2067","4181","10771","5816","934","762","3950","6","16091.48274169","3.848716274","0.088","100","4.9E-07","850.46968098","8966.63390834","8966.63390834","8966.63390834","2024-01-03 00:00:00.000","9.670440906","155611.732942333"
"2024-01-04 00:00:00.000","2013","3368","14139","7829","786","899","3112","6","9844.88555764","2.923065783","0.095","111","4.9E-07","593.12486615","9186.196820665","9186.196820665","9186.196820665","2024-01-04 00:00:00.000","9.95044009","97960.943938445"
"2024-01-05 00:00:00.000","3803","6320","20459","11632","807","900","5980","5","5619.05055579","0.8890902778","0.085000825","95","4.7E-07","410.88012786","8472.76756769","8472.76756769","8472.76756769","2024-01-05 00:00:00.000","10.282479731","57777.773447373"
"2024-01-06 00:00:00.000","1786","3059","23518","13418","616","660","2921","7","4636.01600787","1.515533183","0.1","97.6","0.000101","319.80361221","7833.308974387","7833.308974387","7833.308974387","2024-01-06 00:00:00.000","9.214529241","42718.70506706"
"2024-01-07 00:00:00.000","2200","4319","27837","15618","555","656","4177","5","4944.57754066","1.144843144","0.093","96","4.9E-07","303.18198256","7420.633055283","7420.633055283","7420.633055283","2024-01-07 00:00:00.000","9.00116568","44506.961658689"
"2024-01-08 00:00:00.000","1599","2275","30112","17217","553","496","2125","5","4079.55977518","1.793213088","0.1021","72.98999999","4.7E-07","215.82157451","7002.99889527","7002.99889527","7002.99889527","2024-01-08 00:00:00.000","8.417054037","34337.875076379"
"2024-01-09 00:00:00.000","1582","3457","33569","18799","560","524","3363","6","3118.84738093","0.9021832169","0.0538","66","0.00086","197.51269077","6886.513493759","6571.426504788","6571.426504788","2024-01-09 00:00:00.000","8.403484131","26209.184471343"
"2024-01-10 00:00:00.000","1867","2723","36292","20666","605","533","2640","6","4398.03792723","1.615144299","0.1","200","0.00086","248.52879158","6591.557185874","6354.087647032","6354.087647032","2024-01-10 00:00:00.000","8.327346372","36623.985175862"
"2024-01-11 00:00:00.000","1718","2207","38499","22384","523","456","2085","7","3096.57394921","1.403069302","0.091","80","0.00086","186.04715902","4967.193586814","6057.950038139","6057.950038139","2024-01-11 00:00:00.000","9.216011662","28538.061628089"
"2024-01-12 00:00:00.000","1378","2304","40803","23762","598","515","2160","5","2427.98220901","1.053811723","0.085","72","0.001","123.09832887","4040.080668235","5755.452719045","5755.452719045","2024-01-12 00:00:00.000","9.512056778","23095.104627948"
"2024-01-13 00:00:00.000","1488","3970","44773","25250","612","543","3595","5","2772.17214023","0.6982801361","0.01","100","0.000901","142.40541348","3684.22086629","5525.969597598","5525.969597598","2024-01-13 00:00:00.000","9.501357329","26339.398082271"
