"PROJECT_NAME","Transactions","Sales","Buyers","Sellers","Collections","Platforms","Volume (APT)","Avg Price (APT)","Median Price (APT)","Max Price (APT)","Min Price (APT)","Platform Fees (APT)"
"Aptos Connect Early Adopters","7837","9612","5182","4126","7256","3","2583.23478972","0.2687510185","0.27","7.98","0.001","38.76195395"
"SuperV Sidekicks","613","1181","166","156","1142","2","2354.66409876","1.993788399","0.295","65","0.0896","39.34828001"
"Sloth balls","725","996","456","173","835","2","5989.76562977","6.013820913","5.87","14","0.001","96.27240311"
"Mizuki","393","682","156","274","622","2","201.66488755","0.2956963161","0.25","3.5","0.01","3.12460445"
"Merkle Gear","527","675","180","75","551","3","40.22903622","0.05959857218","0.015","3","0.0001","0.64991156"
"Amnis Retroactive Booster Card","383","581","356","27","577","2","22.4263","0.03859948365","0.04","0.05","0.01","0.3338295"
"Happy B-Day Wapal ^^","298","580","39","17","563","2","8.0071","0.01380534483","0.015","0.02","0.0065","0.1212265"
"It’s an Aptos thing","538","546","259","78","543","3","0.93345002","0.001709615421","0.00122001","0.26","0.0011","0.01396463"
"Aptos ONE Mainnet Anniversary 2023","293","325","271","286","322","4","25.7181595","0.07913279846","0.0801","0.15","0.0051","0.847551"
"The Loonies","214","259","91","96","161","2","4105.48880093","15.851308112","15.6","27","10","62.41393184"
"SuperV Villains","145","244","31","36","234","2","16.4571","0.06744713115","0.066","0.45","0.0111","0.2513565"
"","215","215","66","65","215","1","441.34661908","2.052774972","0.0341","180","0.0001","12.48901752"
"That's Wild","39","177","11","18","177","2","4.28065","0.02418446328","0.025","0.033","0.0035","0.06186975"
"Aptos Minerals Puncherz","47","166","21","14","154","2","15.48329999","0.09327289151","0.0368","7","0.03","0.31153949"
"B.E.A.R.S","138","156","45","120","152","1","43.6429","0.2797621795","0.2","5","0.049","0.6546435"
"Glowy","57","152","38","29","130","2","0.92555","0.006089144737","0.0065","0.00752","0.0001","0.01282875"
"Aptos Monkeys","133","140","82","59","126","3","3001.29529994","21.437823571","20.3317","40","15.5","70.15696394"
"Dotontaro","37","114","19","52","113","1","11.767964","0.1032277544","0.11","0.193","0.0102","0.17651946"
"MAVRIK","69","98","49","38","83","3","437.78709044","4.467215209","4.075","45","0.5","14.21116682"
