"columns","csvData__001","csvData__002","csvData__003","csvData__004","csvData__005","csvData__006","csvData__007","csvData__008","csvData__009","csvData__010","csvData__011","csvData__012","csvData__013"
"PROJECT_NAME","Make Every M🌐ve Count.","213791","226890","201220","171991","53444","4","531.48169945","0.002342464187","0.0022","1.02","0","8.96047874"
"Transactions","Amnis Retroactive Booster Card","61432","86165","44006","12189","51922","3","1951.41868613","0.02264746343","0.01799999","2.5","0.0006","27.2736584"
"Sales","Open Aptmap","54405","62976","23198","19660","32638","5","5597.12759927","0.08887715319","0.087535895","22.22","0","138.27527777"
"Buyers","Aptos ONE Mainnet Anniversary 2023","16404","17106","11614","12434","9605","5","1947.03521959","0.1138217713","0.1","8","0.000001","143.29732314"
"Sellers","APTS","9976","13689","6061","2790","7322","3","106.33633228","0.00776801317","0.00329","14","0.000001","2.06445681"
"Collections","Aptos Quest 3","9152","9680","6049","4797","3737","5","924.1254504","0.09546750521","0.08","20","1E-07","82.322636"
"Platforms","Aptos Connect Early Adopters","7837","9612","5182","4126","7256","3","2583.23478972","0.2687510185","0.27","7.98","0.001","38.76195395"
"Volume (APT)","Merkle Gear","10225","11792","4422","2301","6764","3","942.73404312","0.07994691682","0.026","30","0","15.68966833"
"Avg Price (APT)","","","","","","","","","","","","",""
"Median Price (APT)","","","","","","","","","","","","",""
"Max Price (APT)","","","","","","","","","","","","",""
"Min Price (APT)","","","","","","","","","","","","",""
"Platform Fees (APT)","","","","","","","","","","","","",""
