"columns","csvData__001","csvData__002","csvData__003","csvData__004","csvData__005","csvData__006","csvData__007","csvData__008","csvData__009","csvData__010","csvData__011","csvData__012","csvData__013"
"PROJECT_NAME","Sloth balls","725","996","456","173","835","2","6588.742192747","6.013820913","5.87","14","0.001","96.27240311"
"Transactions","The Loonies","221","266","92","99","163","2","4684.887681023","16.011236094","15.65","27","10","64.71643184"
"Sales","Aptos Monkeys","141","148","86","64","132","3","3473.265267934","21.334553243","20.34","40","0.179","73.21510264"
"Buyers","Pontem Space Pirates","80","92","22","18","27","3","3364.095240539","33.242047831","26.0358","200","13.00000049","19.86082501"
"Sellers","Aptos Connect Early Adopters","7837","9612","5182","4126","7256","3","2841.558268692","0.2687510185","0.27","7.98","0.001","38.76195395"
"Collections","SuperV Sidekicks","661","1272","174","163","1230","2","2723.653788625","1.946579323","0.295","65","0.0896","41.169052"
"Platforms","Amnis Draconian","90","96","58","47","94","2","972.23197522","9.20674219","8.75","15","7","17.76156475"
"Volume (APT)","Aptomingos","28","36","21","16","26","3","956.356279967","24.15041111","22.75","47","18.2251","61.91468397"
"Avg Price (APT)","MAVRIK","79","108","51","41","91","3","529.905629473","4.460485097","4.1908","45","0.5","15.49248181"
"Median Price (APT)","","216","216","67","65","216","1","485.612400988","2.043823236","0.0382995","180","0.0001","12.49497752"
"Max Price (APT)","Pontem Dark Ages","21","24","14","11","16","3","358.5615","13.581875","13.0473","18.1903","1.2","19.656585"
"Min Price (APT)","Creatus","48","51","35","29","44","2","256.339170967","4.569325686","4.8","8.19999999","3.295","5.74597112"
"Platform Fees (APT)","Bruh Bears","20","28","26","16","27","3","238.271549989","7.736089285","6.345","22","3.01549999","9.70412749"
"","Mizuki","393","682","156","274","622","2","221.831376305","0.2956963161","0.25","3.5","0.01","3.12460445"
"","Ice Blue","52","52","30","30","46","2","203.330269967","3.554724999","3.26005","5.6","0.0001","5.93315447"
"","Zaaptos","62","62","47","42","51","2","166.82831","2.446162903","2.46995","3.5","1.32","6.157206"
"","SuperV Costumes","36","51","28","24","49","2","166.704999989","2.971568627","2.46","8.8","1","2.73679999"
"","Spooks","11","18","11","12","17","3","125.648181989","6.345867777","4.9885","15","1.53","5.02624468"
"","AptoRobos","8","11","10","9","10","2","115.467","9.542727273","10","15","6","4.19955"
"","Doodoos OG","22","24","18","18","23","3","98.776039989","3.741516666","3.40605","10","2.4","4.07758559"
"","[REDACTED] Keys","18","18","9","4","18","3","65.797710539","3.323116694","1.502","35","0.71010049","1.44248251"
"","SeaShrine Mystic Dragons","14","19","4","4","19","2","50.27","2.405263158","2.5","3.8","1.8","2.285"
"","B.E.A.R.S","138","156","45","120","152","1","48.00719","0.2797621795","0.2","5","0.049","0.6546435"
"","IN Hero Key NFT Collection","2","2","2","2","2","1","47.52","21.6","21.6","38","5.2","0"
"","Merkle Gear","543","692","188","79","562","3","44.730090526","0.05876259922","0.015","3","0.0001","0.6553676"
"","Celestials","21","21","13","14","21","4","33.75075","1.461071429","1.7","3.9","0.0335","0.9259615"
"","Aptos ONE Mainnet Anniversary 2023","294","326","272","286","323","4","28.37566545","0.07912901687","0.08005","0.15","0.0051","0.8494985"
"","Proud Lions Club","2","2","1","2","2","1","27.775","12.625","12.625","15.25","10","1.7675"
"","Amnis Retroactive Booster Card","400","598","373","28","594","2","25.22993","0.03835501672","0.04","0.05","0.01","0.3414795"
"","Defy Insiders","2","2","1","2","2","1","25.08","11.4","11.4","11.8","11","0.342"
