"WEEKLY","New Collections"
"2024-02-19 00:00:00.000","33"
"2024-05-06 00:00:00.000","25"
"2024-09-09 00:00:00.000","17"
"2024-01-01 00:00:00.000","60"
"2024-07-01 00:00:00.000","44"
"2024-07-22 00:00:00.000","13"
"2024-04-01 00:00:00.000","59"
"2024-08-19 00:00:00.000","12"
"2024-03-11 00:00:00.000","39"
"2024-08-05 00:00:00.000","1"
"2024-03-18 00:00:00.000","44"
"2024-07-08 00:00:00.000","17"
"2024-04-29 00:00:00.000","18"
"2024-06-17 00:00:00.000","45"
"2024-01-22 00:00:00.000","200"
"2024-06-24 00:00:00.000","10"
"2024-07-29 00:00:00.000","4"
"2024-04-22 00:00:00.000","22"
"2024-03-25 00:00:00.000","45"
"2024-03-04 00:00:00.000","84"
"2024-05-13 00:00:00.000","13"
"2024-08-26 00:00:00.000","11"
"2024-02-26 00:00:00.000","83"
"2024-02-05 00:00:00.000","105"
"2024-09-02 00:00:00.000","10"
"2024-07-15 00:00:00.000","18"
"2024-04-08 00:00:00.000","141"
"2024-01-15 00:00:00.000","9"
"2024-01-29 00:00:00.000","130"
"2024-04-15 00:00:00.000","113"
"2024-02-12 00:00:00.000","34"
"2024-06-03 00:00:00.000","40"
"2024-05-27 00:00:00.000","31"
"2024-05-20 00:00:00.000","66"
"2024-06-10 00:00:00.000","31"
"2024-08-12 00:00:00.000","8"
"2024-01-08 00:00:00.000","15"
